6311.97,6890.05,4242.65,7961.51,4969.61,5866.74
3578.64,2281.36,2289.96,1553.79,4104.68,9861.18
5081.12,1208.87,5409.60,9171.12,5796.55,5180.78
3350.70,7815.56,8541.33,1020.70,230.11,6534.90
18.78,8086.42,3996.93,5328.90,1031.24,9298.28
3909.18,8896.57,1494.10,5243.65,8016.13,4938.70
4769.90,2044.70,5451.69,3329.77,8965.75,4712.56
1501.76,6306.40,9431.30,4756.23,3102.23,540.78
4260.60,1131.11,2133.19,633.10,8857.87,6410.90
8594.35,8549.30,3525.86,9663.53,9497.35,7382.63
5855.10,5313.78,1889.62,9618.80,5493.24,3981.02
4440.14,3612.47,2793.42,6981.07,1648.18,3584.05
9402.81,8752.77,1212.03,2038.81,3088.77,9436.15
6409.11,6064.14,596.77,354.24,3030.91,2029.61
3450.93,1000.86,373.69,6973.79,1662.33,1146.28
1179.82,4932.44,7144.23,1000.64,7653.05,9772.12
6410.25,4262.45,7704.72,2775.89,3332.98,951.86
2592.20,5608.67,4107.15,9777.56,2864.01,7727.87
6715.72,8332.39,5851.49,4111.19,9184.88,203.58
1295.42,748.69,4601.17,3934.97,7894.45,9996.36
5885.75,2168.91,5083.49,6789.83,1322.00,9741.24
5478.20,3922.28,7342.48,9308.53,516.51,9297.53
766.21,7296.08,4247.89,2583.57,8643.62,9198.77
1.04,8103.41,5112.59,816.53,3080.70,1367.92
2138.01,6583.86,6840.40,55.27,234.91,38.86
8656.78,1602.24,1948.77,3252.38,4587.88,2985.12
7792.50,1332.02,4500.57,1896.32,2185.83,8533.83
5686.14,2530.35,304.05,666.26,4254.71,5156.46
9297.05,9954.83,8101.91,7514.81,7134.47,8813.22
3405.48,9619.37,145.17,2474.34,5462.43,6016.91
1535.43,584.05,4417.20,2448.74,4743.46,6468.70
2124.37,1882.61,3927.06,5044.22,8569.93,1161.38
6605.42,4902.53,1780.12,9188.61,7766.43,5630.15
7849.14,8154.54,619.38,5489.94,2550.21,9248.48
1424.08,1387.25,3621.07,6304.01,1606.50,9117.66
4748.57,8005.74,3559.54,1370.47,3606.33,9588.99
2729.55,3144.45,1884.08,452.67,7399.96,3304.15
8144.50,4202.26,689.27,2397.13,3243.58,6193.46
8952.19,1716.76,7993.18,9239.51,6934.66,8116.86
5283.63,8169.81,3309.69,9990.28,159.43,5214.41
581.67,2430.32,9872.19,6209.74,4823.91,7707.08
1386.66,645.08,3687.16,665.38,250.97,7349.42
2632.19,7548.47,8273.48,8680.64,550.73,1485.86
8486.97,9832.09,6985.96,3376.37,8772.76,6845.61
6366.77,9607.29,335.84,3.94,2981.38,8304.72
4169.42,1075.63,4292.38,6685.49,6286.07,2683.82
2086.30,4703.93,5472.07,588.61,6846.18,8058.77
1337.86,2480.45,6736.04,7639.49,7518.06,1662.60
2480.02,531.76,2174.80,5306.13,8997.83,5679.24
6281.99,8033.14,985.78,7654.78,5535.83,2036.87
4855.16,6351.37,1991.66,3098.04,6422.56,6087.96
3120.58,5841.80,1234.05,655.62,4184.03,8520.85
9326.73,3538.29,1531.99,8231.89,8580.53,8308.39
1858.18,6979.72,6914.10,1716.53,1030.12,6802.99
2558.93,503.57,7062.87,6832.03,8136.41,4138.10
